id,category,text_,subjective_claim_count,objective_claim_count,experiential_detail_claim_count,positive_affect_claim_count,negative_affect_claim_count,uncertain_claim_count,category_specific_claim_count,text_sentiment
11.0,Electronics_5,"I am technologically challenged and need my son's help to do most everything electronics related. I bought this switch with the idea that if I could not make it work I would ask my son for help. I have a TV with only two HDMI ports and needed to connect it to a DVD and a Roku as well as my cable modem. Guess what! By following the advice in other reviews, I have a working setup. I still don't understand what the 5v charger input is supposed to do or why the ""Select"" button doesn't select. Also, I don't need to use the remote control (I already have a handful of remotes and don't want to juggle another). It seemed to take forever to get the switcher, but considering the price and the utility of the thing, I am a happy buyer.",2.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0
12.0,Electronics_5,"I bought this product as well as the TP-LINK AV500 powerline starter kit. Both are great products and can recommend both. One thing to keep in mind, they will be no better than the internet you have coming from your router. I did a YouTube review on both. If your like to see the video here's the link https://youtu.be/yhxNzGU2Nq4.",2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
13.0,Electronics_5,I didn't realize for years that I didn't have a speaker on the MB is used to build my own PC. I thought the reason I wasn't hearing the boot up beeps was because of my hearing loss. Then I discovered that my cpu fan wasn't running and there wasn't any alarm for overheating nor stopped fan! Yikes. Now the beeps are back! New fan and cooler cpu.,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
14.0,Electronics_5,5 stars for functionality but to big for my purpose. Very nice case though.,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
15.0,Electronics_5,"Came home to find the box sitting on my porch in perfect condition, no dents, no crushed corners, and the packaging inside was seriously impressive. The case was snug in a soft sleeve with a silica packet, which was a nice touch. First impression pulling it out: solid but not bulky, with a smooth finish that feels way more premium than I expected. Buttons click perfectly.",3.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0
16.0,Electronics_5,"The best there is. Uses a DVI video connection, should be HDMI in 2016. That is a little out of date, had to buy an adapter, no problem though. Love it.",1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
17.0,Electronics_5,"My router was at one end of the house and my PC at the other. I ran this the length of the basement. I was getting 25-40 bps and with this, I am getting a consistent 866 bps. Fantastic.",1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0
18.0,Electronics_5,I purchased a battery for my MacBook Pro computer from AUIO and I am very pleased. It was a Siker brand and showed only one cycle. It truly was a very easy installation. Nicholas with AUIO really takes care of his customers and is very concerned with my being totally satisfied with my purchase. I would totally recommend him for any of your battery purchases.,3.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0
19.0,Electronics_5,This lens does not fit the Pentax KR you can see on the mount there is no auto focus connection. Had to return it.,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-1.0
20.0,Electronics_5,"I was skeptical, but these completely eliminated the faint buzzing sensation I'd feel in my fingertips after a long drawing session. No more tingly hands, and I can finally binge-read in bed without that weird electric hum messing with my focus.",2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0
21.0,Electronics_5,"Not making it draw high current (<1amp). That said, it works as supposed to as far as providing space saving in comparison to a straight in plug.",0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
22.0,Electronics_5,"Used these earbuds for a few months now and the cord near the jack is already starting to fray. Sound is decent for the price, but I expected them to hold up better with regular, careful use. Disappointing.",2.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0
23.0,Electronics_5,"I love this stand. I bought it so that I could set up my iPad to use for my guestbook at my wedding and it worked wonderfully. It was sturdy but still easy to adjust for my non-tech-savvy relatives. The only downside (and this is not related to the product) is that I bought it as an warehouse deal which said ""minor cosmetic damage possible"" but instead it was missing a whole piece. There are supposed to be little foam stickers for the corners that help keep it gripped, but it works fine without them so I just went with it. I'm considering also purchasing the one that mounts on the wall for use in my kitchen.",3.0,3.0,2.0,2.0,1.0,0.0,3.0,1.0
24.0,Electronics_5,"Great aspect ratio and an affordable way to get in to the ultrawide monitor world. Got it primarily for gaming, and I couldn't be more happy. Paired with a GTX 970 SSC it runs buttery smooth. Colors look great. It may not be the highest resolution out there, but it just looks so great you won't even realize it. Everything is crisp and sharp, and the extra perspective in games is a huge plus.",4.0,2.0,1.0,3.0,0.0,0.0,3.0,2.0
25.0,Electronics_5,"I wasn't sure this little IR illuminator would do much, but it completely surprised me. The glow is totally invisible to the naked eye, yet my night vision camera picks up a crisp, wide field. Mounting was simple and it barely draws any power. Honestly performs way better than I expected for the price.",2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0
26.0,Electronics_5,"I've been using this aux cable daily for almost two months and it's held up perfectly. No crackling or loose connections, even after tossing it in my bag constantly. The woven jacket still looks brand new and doesn't snag. Honestly, I'm surprised how sturdy it is for the price. Definitely a solid, long-lasting pick.",2.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0
27.0,Electronics_5,Perfect for my small home office setup. Highly recommend to anyone needing decent sound without the clutter.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.0,Electronics_5,"For under twenty bucks this 128GB stick is a steal, fast transfers and the slider feels solid.",1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0
29.0,Electronics_5,"Got this for my son's school Chromebook and honestly didn't expect much for the cost. The padding is surprisingly solid, zippers work smoothly, and the pocket fits the charger perfectly. For under twenty bucks it's a steal, keeps everything protected and easy to carry.",1.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0
30.0,Electronics_5,"I'm a photojournalist and bought this monitor after my old 21"" CRT died. I've been very pleased with the HP W2408H over the last couple of weeks, but it does need calibration. If you are a gamer or general user, you will love the brilliant picture straight out of the box. For photographers and editors, the colors are too bright and saturated, too ""juicy"" for critical use. I uninstalled the monitor's software, dragged out my venerable $100 Pantone ColorVision ColorPlus (the consumer colorimeter sensor for monitors) and it gave me a nice, clean image in minutes. A worthwhile investment for anyone. The monitor's wide-screen real estate makes editing hundreds of photos quite a bit easier than with the old square CRT. It also uses less power and produces less heat than a CRT, a nice plus these days. The image is smooth, even and neutral with calibration. Like any LCD, though, you do need to view the screen ""on axis."" Just to verify what others have said, the built-in speakers are total garbage: weak, tinny, and pointed out the rear so you cannot hear what little sound they do produce. You definitely need external speakers. With the exception of the crummy speakers and the iffy calibration software, the monitor is excellent. Five stars.",5.0,10.0,6.0,3.0,2.0,0.0,8.0,2.0
31.0,Electronics_5,"Thought the cheap price was a steal, but this thing barely functions. My old one from five years ago runs circles around it. Total letdown.",3.0,0.0,0.0,0.0,3.0,0.0,0.0,-2.0
32.0,Electronics_5,"As a fan, it does the job, but rather loudly. If you're looking for a silent rig, these are not for you.",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
33.0,Electronics_5,"Potentially good earphones with two major issues. I can rate them 2.5 to 3 stars based on the units I received. First of all, the construction quality is really good. Buttons, earbuds, cables, eartips - everything is made of very good quality. The aluminium case is another pleasant bonus. Speaking of sound quality, it's good but not great. I felt the bass is weak even after tweaking equalizer on my laptop as well as phone. Audio (especially music) feels little flat as compared to other earphones I tested. Having said that, it doesn't mean it's bad and is surely acceptable for daily use. The volume controls operate individually (independent of source volume) so that's a very good feature. Range is very good. I didn't notice audio breaking while walking away from source unless I went too far. As compared to other earphones I've tested, these have larger bluetooth range. Two major issues these earphones have are battery life and in-ear fit. In-ear fit is not quite good. It keeps falling off the ears even after trying all eartips and earfins. I found mid-sized eartips better fitting than others. It's certainly manageable when you are doing a desk top and not moving around much. They fell off once when I was walking around in office. Battery life is the biggest disappointment. The earphones get fully charged in less than 2 hours (as is the case with most of other earphones) but I got ""battery level medium"" audio prompt within first half hour of use. I used then for another 40 minutes and I got ""battery low"" prompt and within few minutes they switched off as battery was completely off. So I could use them for less than 1.5 hours after fully charging them. I'm not sure if the battery issue is by design or if the units I received have this defect. Conclusion - These earphones surely have potential but aforementioned two major issues disappoint you. If they at least had good battery life, they surely deserve 4.5 stars.",10.0,12.0,10.0,3.0,5.0,1.0,12.0,0.0
34.0,Electronics_5,"Our Netgear router was needing a restart several times a day and gave us poor coverage in our new house. The ASUS router has functioned flawlessly, gives great coverage across both floors of our house and hasn't needed a restart yet! I love the UI and the ability to look at the connected devices. The dual band is great!",2.0,4.0,2.0,2.0,1.0,0.0,4.0,1.0
35.0,Electronics_5,Battery worked fine but screwdriver not included. Used battery to replace Forerunner 305 wrist GS battery with little modification involved.,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
36.0,Electronics_5,"Switching to this camera made photography fun again, fast autofocus, vivid colors, and the compact body fits my everyday bag perfectly. Worth every penny for the upgrade.",1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0
37.0,Electronics_5,"I grabbed this mainly for casual phone VR stuff, and honestly it's okay but nothing special. Setup was clunkier than I thought, and the lenses have a pretty narrow sweet spot, I'm constantly adjusting the head straps to keep things clear. It fits my Pixel fine, but light leaks in from the sides kill immersion. For the price I wasn't expecting premium, but I did expect a little less fiddling just to get a decent picture. It works, just not as smoothly as the product page made it sound.",5.0,4.0,4.0,0.0,3.0,0.0,5.0,0.0
38.0,Electronics_5,it is a ok. it fit me good. I will call again in the near future. i am very glad,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39.0,Electronics_5,"I'd tell any DIY product photographer to grab this, the thick paper holds up great and the deep, even tone saves so much editing time. Just keep a couple clips handy.",1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0
40.0,Electronics_5,Holds my small monitor snug but the tilt adjust is a bit stiff to get just right.,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
41.0,Electronics_5,"It does the job for pulling photos off my SD and microSD cards, and the USB port is handy in a pinch. For the price, I can't complain too much. But honestly, the thing is clunky. It's noticeably bulkier than Apple's own adapter and sticks out awkwardly from the iPad. Build quality feels a bit cheap, like the plastic casing might crack if you toss it in a bag. I've had it disconnect a couple times if I bump the tablet while it's plugged in, which is annoying. For occasional use on a budget, it's fine, just don't expect it to be a smooth or elegant solution. You get what you pay for.",6.0,3.0,3.0,1.0,5.0,0.0,5.0,0.0
42.0,Electronics_5,"When i got my PS3, there was only one missing link to complete my total entertainment center and this is it.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43.0,Electronics_5,Now I don't have to keep my wife awake while I watch TV. I can stay up later and watch the DVR without disturbing her sleep.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44.0,Electronics_5,"Plugged this into my desktop and it just worked right away. WiFi is snappy on both bands and range reaches my back patio without drops. Bluetooth paired my earbuds on the first try with zero fuss. Whole setup felt effortless. Honestly surprised how smooth everything runs, solid piece of hardware.",1.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0
45.0,Electronics_5,"These sound way better than I expected for the price, crisp highs and surprisingly deep lows. They don't quite hit reference level, but for everyday listening they're warm and immersive. Just a solid, no-regret purchase that punches above its weight.",3.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0
46.0,Electronics_5,"I am a professional filmmaker and videographer. I've been working in the industry for six years, and I just wrapped up principle photography on a feature length PBS documentary. I shoot 1080p high definition HDV video and the ONLY mini-DV tape stock I trust is Panasonic AY-DVM63PQ, better known as Panasonic PQ, for ""professional quality."" Although this tape is designed for DV video, I shoot HDV (high definition video) on it all the time. In my experience, it performs just as well as HDV tape, if not better. I have shot literally hundreds of hours of 1080p high definition video on this tape stock, and I've almost never had a dropped frame. Do NOT buy the cheaper consumer-grade tapes (e.g. DVC tape). Those cheap consumer tapes are a recipe for disaster. If you use cheap consumer tapes, frames will be dropping like flies. The bottom line is that professional work requires professional tape, and professional tape doesn't get better than this. This tape is incredibly reliable, and perfect for archiving. I just pulled some archived tapes off the shelves, 3-4 years old and still playing back at perfect quality, no signs of degradation at all. This stuff LASTS! Unbeatable quality for the price. Worth every penny. Only buy NEW (used tape is not reliable) and be sure to buy the FIVE PACKS which offer the best deal for your money.",3.0,5.0,3.0,3.0,1.0,0.0,5.0,2.0
47.0,Electronics_5,"Worked fine the first two weeks, then just died on me. The plastic casing also cracked near the plug. Total junk, don't bother.",1.0,2.0,1.0,0.0,1.0,0.0,2.0,-2.0
48.0,Electronics_5,"Budget MOBO is what you might be thinking but don't let this little thing fool you. I have this paired with my 4700K that is OC'd to 4.5ghz, now you are probably asking how I OC'd since this board isn't a Z Series board but it doesn't matter. This MOBO was one of the adapters of the Non-Z OC, just download the proper BIOS and you can do it too without having to worry about voltages. This product is solid and I recommend it specially if you know what you are doing!",1.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0
49.0,Electronics_5,"Fits the GPU well, but wish it had better airflow.",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,Electronics_5,"Excellent units with rechargeable batteries (included) and the privacy codes necessary to modify the basic channels if desired. These units are able to communicate universally with other units, even if a privacy code is being used. We had originally purchased a less expensive toy-like Motorola set for use with our car club but they were lacking the privacy code capability used by our club and thus useless to us. They were returned for these units and we are now in full communication again.",1.0,5.0,1.0,1.0,0.0,0.0,4.0,1.0
51.0,Electronics_5,"Honestly, it feels just as solid as the pricey ones but for way less cash.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
52.0,Electronics_5,"I love this bluetooth speaker. The sound is great and it is small enough to travel with. This thing is well built and tough and it can easily be used in any outdoor events such as hiking, biking, camping, etc in any weather conditions. I was able to pair it to my ipod and iphone in a matter of seconds. I cant wait to use it on my next outdoor adventure.",3.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0
53.0,Electronics_5,"I loved this device when I first received it. It is slim, lightweight, had a good feel to the keys and was a USB device. However, after about a month of using it a few of the keys started to kind of stick. Next thing I knew, it was causing my computer to go crazy. I wasn't able to type using it was flashing text. As soon as I disconnected the device my computer worked perfectly again. I can only assume one of the keys was permanently stuck (although I can't figure out which one) and so it was trying to type that character over and over. I am just out of the return window and so I am stuck with it. Luckily it wasn't more expensive than it is. I believe I saw a few comments here about people with similar experiences. Please believe them as I think this is likely to happen to you too. Oh yeah, I am a very light computer user. This was only used for personal business not a work computer.",5.0,4.0,5.0,1.0,3.0,1.0,5.0,-1.0
54.0,Electronics_5,"I wasn't sure it'd feel this premium for the price, but it snaps on perfectly and barely adds any weight. Honestly exceeds what I hoped for.",2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
55.0,Electronics_5,"This thing showed up a full day early, which was a nice surprise. Box was pristine, thick foam inserts holding everything snug, zero scuffs or rattling. First impression pulling it out: the slim bezel and matte black finish feel way more premium than I expected at this price. Literally one cable to connect, and Windows recognized it instantly. The stand snaps in without tools and is rock steady. Powering it on, the screen is crisp right out of the box, no dead pixels, and the default brightness was perfect for my home office. Really pleased.",3.0,6.0,5.0,2.0,0.0,0.0,6.0,2.0
56.0,Electronics_5,"Bought these for a trip to Italy and they worked flawlessly the entire two weeks. Plug fit snug in every outlet we tried, no wiggling or falling out. Used them with our dual-voltage hair dryer and phone chargers without any issues. Compact enough to toss in a carry-on without adding bulk. Honestly surprised by the build quality for the price, feels solid, not flimsy. If you travel often and know your gear's voltage specs, these are a no-brainer.",2.0,5.0,3.0,2.0,0.0,0.0,5.0,2.0
57.0,Electronics_5,"that such a simple little thing would help me so much!? This has a very nice weight to it, so it stays in place. It's not HEAVY, but it's enough to keep it where you put it. I had two cords on my nightstand that i had to wedge between the clock and the lamp, or they would fall behind the nightstand. This solved the problem nicely. I love Quirky items. Browse their stuff.",2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
58.0,Electronics_5,These cords fixed the flickering I was dealing with on my second screen. Picture is super crisp now and everything just feels snappier. Definitely picking up a few more for my desk setup.,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0
59.0,Electronics_5,Nice quality and it worked well for our online wedding ceremony! We set it up on a fireplace mantle behind the officiant and it picked up all our voices well. The mic was hooked up to a hidden Linux netbook that recorded the audio while a camcorder recorded the video. Sound and audio were then fed into a Webex session. No complaints on the audio at all.,1.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0
60.0,Electronics_5,"Arrived fast in a sturdy little box, felt well-protected. Plugged it in and it just worked immediately.",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,Electronics_5,Got this for Christmas last year. Had 2 6.5s and a bridged 12 hooked up. Ran 0 gauge from battery and ground and 12g to speakers. Worked well for about 6 months. Around July or August it started having issues channels failing in an odd way. Any amp Ive had in the past that has gone bad the channel stayed dead. It developed a whine in one speaker and then channels would randomly cut out until you turned it off for a few minutes and back on again. This would cut out in one channel one day and another on a different day. Rechecked wiring and all is good. Distortion is bad at higher volumes and bass is very muffled. For the price it sounded as expected and for the time it did work it worked ok. I did expect it to last longer than it did.,2.0,6.0,3.0,1.0,3.0,0.0,5.0,0.0
62.0,Electronics_5,This tower is big for a mid tower but I like it Came warped in plastic Clean Nice paint job Cant complain yet great tower!!!,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0
63.0,Electronics_5,"My cable management was a nightmare until I started using this. Being able to power my router and a small USB hub from one compact brick cleared up so much clutter behind my desk. Super stable output, no drops, and it barely gets warm.",1.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0
64.0,Electronics_5,"I keep these stashed all over, car, nightstand, laptop bag. The micro-woven texture grabs fingerprints off my tablet without leaving lint or streaks. Way better than using my shirt. Finally a cloth that actually lifts grime instead of just smearing it around.",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
65.0,Electronics_5,"Very sturdy surge strip for a solid price. Haven't had my house struck by lightning, so I can't comment on the effectiveness, but I'm trusting $1000 of hardware to it.",1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
66.0,Electronics_5,Sound is not that great; get what I pay for,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
67.0,Electronics_5,"Unfortunately this particular unit did not work in our walkies. I'm putting at ""I Like It"" as it wasn't that it would work just the stems on the plug were too long for the particular motorola we use at work so I had to return.",1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0
68.0,Electronics_5,"I've ordered a ton of electronics online and the way these arrived honestly surprised me. The box was sturdy, no dents, with tight foam inserts keeping everything snug, no rattling at all. Peeling off the protective film was super satisfying, and right out of the gate they felt really premium in hand. Pairing took maybe ten seconds with my phone, and the ear cushioning had that fresh, plush feel you only get with careful packaging. I wore them for a solid three hours the first day while catching up on a podcast and tackling yard work, and they stayed put without any pinching. Solid first impression all around.",5.0,3.0,5.0,3.0,0.0,0.0,3.0,2.0
69.0,Electronics_5,"I highly recommend this case. Especially if you use your phone for things like watching video, reading documents and such. The case is very protective at the corners which is where a phone gets most damage. The two features i love are the standing slot and the auto on. Whenever you open the case the screen automatically turns on. This feature doesnt waste any battery and it saves you if your power button is losing. you don't even have to latch it everytime, I only latch it when i put it in my pocket. Normally i just let the cover down until the latch is resting on the edge and it shuts the screen off. The inside is very soft and won't scratch the screen and the outside feels great. Nothing i can find wrong with it except i wish it covered the edges of the phone more like it does the corners.",5.0,4.0,4.0,3.0,1.0,0.0,6.0,2.0
70.0,Electronics_5,"I got this thing back in March and it worked fine out of the box on Windows 10, no driver nonsense needed. Fast forward four months of light use, maybe two calls a week, and the mic just gave up. At first people said I sounded muffled, then it turned into a crackly mess, and now it's basically dead. The plastic housing also started separating near the USB connector for no reason. I don't toss my gear around, it literally just sits on my desk. Tried different ports, different computers, same result. For something that barely moved, it should've lasted way longer. Total waste of money, flimsy build, zero longevity.",3.0,4.0,3.0,0.0,3.0,1.0,4.0,-2.0
71.0,Electronics_5,"I picked this up to do a general site survey around the house and ended up blown away by what this little adapter can do. Setup was completely painless on my Linux laptop, and the range absolutely smokes the built-in card. I'm pulling stable connections from the far corner of the backyard where my phone drops off entirely. The external antenna makes a massive difference, and it's handled everything I've thrown at it without dropping once. Build quality feels solid too, doesn't feel flimsy like some of the cheap dongles I've tried. If you need serious wireless range or just a reliable adapter that doesn't quit, this thing is a steal. Highly recommended.",3.0,5.0,3.0,3.0,0.0,0.0,5.0,2.0
72.0,Electronics_5,"I normally use a Noizfree headset, which has stellar sound quality. This one drops out the lower frequencies, and even the remaining ones just sound vastly off.. It's very hard to listen to music with this thing with all the distortion and missing frequencies. Tried different levels of volume on both the unit and the phone. Even plugging my noizfree set into the unit and bypassing the neckloop makes very little difference. The neckloop is mono as expected, but the jack is stereo capable. I suspect something is off with their bluetooth implementation.. it sounds like an AM radio. Even given the limitations of Bluetooth audio, the unit itself feels and sounds cheap. The volume control on the side is audibly noisy, when you change volumes you can hear it scratching. As others have noted, pairing can be a pain... it did work with a Galaxy S3 and S4 after a few attempts.",5.0,6.0,6.0,0.0,3.0,1.0,7.0,-2.0
73.0,Electronics_5,This lasted about 1 month and then started to come apart from regular use around my arm at the gym. I had to sew it back together but it has been a frustrating purchase. I used it with the IPOD classic pictured in the icon.,1.0,2.0,1.0,0.0,1.0,0.0,1.0,-1.0
74.0,Electronics_5,"Had this thing for months now, still solid as day one no issues.",0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
75.0,Electronics_5,"The screen looks crisp and the build is solid, but the battery drains crazy fast even with light use. I'm lucky to get four hours, which makes it frustrating for travel. I wanted to like this tablet, but the poor battery life just kills the experience for me.",3.0,2.0,1.0,1.0,2.0,0.0,2.0,-1.0
76.0,Electronics_5,"Excellent product, charged both batteries quickly, fits perfect and works the same as stock battery.",1.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0
77.0,Electronics_5,"I grabbed this to cover a dead zone in my garage. Setup took maybe five minutes, plug it in, press WPS, done. I wasn't expecting miracles, and it's true you lose some speed on the extended network. I'm seeing about half the bandwidth I get near the main router, but for streaming music or pulling up a YouTube tutorial out there, it's perfectly solid. Range is slightly better than I expected given the price. Just don't expect full fiber speeds through concrete walls and you'll be happy.",3.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0
78.0,Electronics_5,Very pleased with product. Was easy to put screen protector on and cleans off well (finger prints). I would buy again.,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0
79.0,Electronics_5,"Low-cost production, without any of printed instructions. Is not worth that money. Such a large mouse does not have a place where you can put the USB receiver",1.0,2.0,0.0,0.0,1.0,0.0,2.0,-1.0
80.0,Electronics_5,Perfect for small living rooms. Pairs instantly with my TV. Great for movie nights. I'd tell any casual viewer to grab one.,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0
81.0,Electronics_5,"Gets very warm if you plug in multiple devices, otherwise works great.",1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
82.0,Electronics_5,"Great quality product, I purchased for HP 7 android tablet, doesn't fit quite right. I took a change in this purchase and it is my fault, not the fault of the product because HP Slate is slightly different than the tablet I have. The product is excellent and would have been really nice if it fit my product like a glove.",3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
83.0,Electronics_5,"I've already returned this case. The bottom piece would not say snapped on at all. The keyboard cover was great and the colors of the case were vibrant and really flashy. If the bottom piece was fixed, this case would be great. But as it is? Save your money.",3.0,2.0,1.0,1.0,2.0,0.0,3.0,-1.0
84.0,Electronics_5,I've been using this for a few months now and it's held up great through daily shoots. Build feels solid and I haven't noticed any wobble or wear on the joints.,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0
85.0,Electronics_5,Buggy when setting up m. 2 wound up buying a pcie m. 2 extension card which defeated the purpose of this board. A simple bios update would fix it but a this is a dying socket type don't hold your breath.,1.0,2.0,1.0,0.0,1.0,1.0,2.0,-1.0
86.0,Electronics_5,"Having used an Apple wireless mini keyboard with a Macbook Pro at my former job, I wanted to find something similar to use with the Dell laptop provided by my new employer. A full sized keyboard takes up too much desk space, and I had gotten used to the mini layout. This was the most similar product I could find. I've been using this keyboard and mouse for a few days now and have no real complaint. The layout is familiar, so I'm not fatfingering things. The mouse is comfortable and responsive - pretty much the same size and shape as the compact Logitech mouse I use with my home system. Good things: - Keyboard and mouse are both solid and well made - They both *look* solid and well made - attractive design and finish - They both work as they should, and well Not so good things (and this is a fairly subjective list): - Keyboard is a bit loud and clicky for my taste - Took a bit of time to figure out why they keys did not appear mapped to the right characters - the num lock was on. This may be a problem with my laptop, and not the keyboard - I wish the mouse had rubbery sides - I wish the keyboard had a power switch In summary, I'm satisfied with the product and consider the price very reasonable. I would recommend it to anyone who prefers a mini keyboard.",6.0,4.0,5.0,3.0,3.0,1.0,6.0,1.0
